input num : 0.0, bin_trans num : 0
input num : -0.42277, bin_trans num : -0.421875
input num : -0.42556, bin_trans num : -0.421875
input num : -0.42834, bin_trans num : -0.421875
input num : -0.43111, bin_trans num : -0.4296875
input num : -0.43388, bin_trans num : -0.4296875
input num : -0.43665, bin_trans num : -0.4296875
input num : -0.43941, bin_trans num : -0.4375
input num : -0.44217, bin_trans num : -0.4375
input num : -0.44493, bin_trans num : -0.4375
input num : -0.44768, bin_trans num : -0.4453125
input num : -0.45043, bin_trans num : -0.4453125
input num : -0.45317, bin_trans num : -0.453125
input num : -0.45591, bin_trans num : -0.453125
input num : -0.45864, bin_trans num : -0.453125
input num : -0.46137, bin_trans num : -0.4609375
input num : -0.46409, bin_trans num : -0.4609375
input num : -0.46682, bin_trans num : -0.4609375
input num : -0.46953, bin_trans num : -0.46875
input num : -0.47224, bin_trans num : -0.46875
input num : -0.47495, bin_trans num : -0.46875
input num : -0.47765, bin_trans num : -0.4765625
input num : -0.48035, bin_trans num : -0.4765625
input num : -0.48305, bin_trans num : -0.4765625
input num : -0.48574, bin_trans num : -0.484375
input num : -0.48842, bin_trans num : -0.484375
input num : -0.4911, bin_trans num : -0.484375
input num : -0.49378, bin_trans num : -0.4921875
input num : -0.49645, bin_trans num : -0.4921875
input num : -0.49911, bin_trans num : -0.4921875
input num : -0.50177, bin_trans num : -0.5
input num : -0.50443, bin_trans num : -0.5
input num : -0.50708, bin_trans num : -0.5
input num : -0.50973, bin_trans num : -0.5078125
input num : -0.51237, bin_trans num : -0.5078125
input num : -0.51501, bin_trans num : -0.5078125
input num : -0.51764, bin_trans num : -0.515625
input num : -0.52027, bin_trans num : -0.515625
input num : -0.52289, bin_trans num : -0.515625
input num : -0.52551, bin_trans num : -0.5234375
input num : -0.52812, bin_trans num : -0.5234375
input num : -0.53073, bin_trans num : -0.5234375
input num : -0.53333, bin_trans num : -0.53125
input num : -0.53593, bin_trans num : -0.53125
input num : -0.53852, bin_trans num : -0.53125
input num : -0.54111, bin_trans num : -0.5390625
input num : -0.54369, bin_trans num : -0.5390625
input num : -0.54627, bin_trans num : -0.5390625
input num : -0.54884, bin_trans num : -0.546875
input num : -0.55141, bin_trans num : -0.546875
input num : -0.55397, bin_trans num : -0.546875
